_sa_instance_state,VOC,Date,PM2,NO2_PlumeAQI,PM10_PlumeAQI,PM1_PlumeAQI,TripId,NO2,Id,Timestamp,PM10,PM1,VOC_PlumeAQI,PM2_PlumeAQI
<sqlalchemy.orm.state.InstanceState object at 0x000002014420EA60>,159,2022-05-10 08:26:38,2.0,13,4,3.0,3,8,347,1652171198,3.0,8,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000002014420EAC0>,159,2022-05-10 08:27:38,2.0,13,4,3.0,3,8,348,1652171258,3.0,8,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000002014420EAF0>,162,2022-05-10 08:28:38,,13,0,,3,8,349,1652171318,,8,0,
<sqlalchemy.orm.state.InstanceState object at 0x000002014420EB50>,158,2022-05-10 08:29:40,2.0,13,4,3.0,3,8,350,1652171380,3.0,8,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000002014420EBB0>,159,2022-05-10 08:30:40,2.0,13,4,3.0,3,9,351,1652171440,14.589665,9,15,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000002014420EC10>,158,2022-05-10 08:31:40,2.0,13,4,3.0,3,8,352,1652171500,12.279531,8,12,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000002014420ECD0>,158,2022-05-10 08:32:40,2.045308,13,4,3.0,3,9,353,1652171560,34.93493,9,35,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000002014420ED60>,161,2022-05-10 08:33:40,2.0,13,4,3.0,3,9,354,1652171620,17.604523,9,18,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000002014420EDF0>,160,2022-05-10 08:34:40,2.0,13,4,3.0,3,9,355,1652171680,3.0,9,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000002014420EE80>,161,2022-05-10 08:35:40,5.140726,13,10,3.0,3,9,356,1652171740,70.591774,9,84,1.0
