_sa_instance_state,VOC,Date,PM2,NO2_PlumeAQI,PM10_PlumeAQI,PM1_PlumeAQI,TripId,NO2,Id,Timestamp,PM10,PM1,VOC_PlumeAQI,PM2_PlumeAQI
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E96D8E0>,120.0,2022-05-12 19:35:29,2.0,10,4,3.0,12,0.0,3151,1652384129,18.261656,0.0,18,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E96DBE0>,122.0,2022-05-12 19:36:29,2.0,10,4,3.0,12,0.0,3152,1652384189,16.557531,0.0,17,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E96DC10>,123.0,2022-05-12 19:37:29,2.0,10,4,3.0,12,0.0,3153,1652384249,3.0,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E96DF40>,123.0,2022-05-12 19:38:29,2.0,10,4,3.0,12,0.0,3154,1652384309,3.0,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1040>,124.0,2022-05-12 19:39:29,2.0,10,4,3.0,12,0.0,3155,1652384369,3.0,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C10A0>,122.0,2022-05-12 19:40:29,2.0,10,4,3.0,12,0.0,3156,1652384429,8.6010895,0.0,9,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1160>,126.0,2022-05-12 19:41:29,2.0,10,4,3.0,12,0.0,3157,1652384489,3.0,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C11F0>,124.0,2022-05-12 19:42:29,9.310736,10,19,3.0,12,0.0,3158,1652384549,117.55524,0.0,123,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1280>,123.0,2022-05-12 19:43:29,2.0,10,4,3.0,12,0.0,3159,1652384609,3.0,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1310>,125.0,2022-05-12 19:44:29,2.0,10,4,3.0,12,0.0,3160,1652384669,3.0,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C13A0>,126.0,2022-05-12 19:45:29,2.0,10,4,3.0,12,0.0,3161,1652384729,3.187083,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1430>,130.0,2022-05-12 19:46:29,2.0,10,4,3.0,12,0.0,3162,1652384789,3.0,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C14C0>,125.0,2022-05-12 19:47:29,2.0,10,4,3.0,12,0.0,3163,1652384849,3.6811628,0.0,4,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1550>,131.0,2022-05-12 19:48:29,2.7434654,10,5,3.0,12,0.0,3164,1652384909,37.906315,0.0,38,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C15E0>,132.0,2022-05-12 19:49:29,2.0,11,4,3.0,12,0.0,3165,1652384969,3.0,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1670>,132.0,2022-05-12 19:50:29,2.0,11,4,3.0,12,0.0,3166,1652385029,16.165405,0.0,16,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1700>,133.0,2022-05-12 19:51:29,2.0,11,4,3.0,12,0.0,3167,1652385089,7.8916135,0.0,8,1.0
