_sa_instance_state,VOC,Date,PM2,NO2_PlumeAQI,PM10_PlumeAQI,PM1_PlumeAQI,TripId,NO2,Id,Timestamp,PM10,PM1,VOC_PlumeAQI,PM2_PlumeAQI
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1790>,132.0,2022-05-12 19:52:29,2.0,11,4,3.0,12,0.0,3168,1652385149,3.0,0.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1820>,131.0,2022-05-12 19:53:29,2.0,10,4,3.0,12,0.0,3169,1652385209,17.271584,0.0,17,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C18B0>,136.0,2022-05-12 19:54:29,2.0,11,4,3.0,12,1.0,3170,1652385269,10.218214,1.0,10,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1940>,135.5,2022-05-12 19:55:29,,0,0,,12,2.0,3171,1652385329,,2.0,0,
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C19D0>,135.0,2022-05-12 19:56:29,2.0,11,4,3.0,12,1.0,3172,1652385389,3.0,1.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1A60>,134.0,2022-05-12 19:57:29,2.0,11,4,3.0,12,2.0,3173,1652385449,3.0,2.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1AF0>,134.0,2022-05-12 19:58:29,2.0,11,4,3.0,12,2.0,3174,1652385509,3.0,2.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1B80>,136.0,2022-05-12 19:59:29,2.0,11,4,3.0,12,2.0,3175,1652385569,3.0,2.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1C10>,137.0,2022-05-12 20:00:29,5.5784388,11,11,3.0,12,2.0,3176,1652385629,55.102863,2.0,59,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1CA0>,135.0,2022-05-12 20:01:29,2.0,11,4,3.0,12,2.0,3177,1652385689,3.0,2.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1D30>,136.0,2022-05-12 20:02:29,2.0,11,4,3.0,12,1.0,3178,1652385749,3.3539877,1.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1DC0>,140.0,2022-05-12 20:03:29,2.0,11,4,3.0,12,0.5,3179,1652385809,3.0,0.5,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1E50>,141.0,2022-05-12 20:04:29,2.0,11,4,3.0,12,0.25,3180,1652385869,6.9048386,0.25,7,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1EE0>,140.0,2022-05-12 20:05:29,2.0,11,4,3.0,12,0.125,3181,1652385929,3.0,0.125,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C1F70>,140.0,2022-05-12 20:06:29,,0,0,,12,0.0625,3182,1652385989,,0.0625,0,
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C9040>,140.0,2022-05-12 20:07:29,2.616475,11,5,3.0,12,0.03125,3183,1652386049,30.057316,0.03125,30,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C90D0>,141.0,2022-05-12 20:08:29,2.0,11,4,3.0,12,0.015625,3184,1652386109,3.0,0.015625,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001EE9E9C9160>,143.0,2022-05-12 20:09:29,2.0,11,4,3.0,12,0.0,3185,1652386169,3.0,0.0,3,1.0
