_sa_instance_state,VOC,Date,PM2,NO2_PlumeAQI,PM10_PlumeAQI,PM1_PlumeAQI,TripId,NO2,Id,Timestamp,PM10,PM1,VOC_PlumeAQI,PM2_PlumeAQI
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E339A0>,159.0,2022-05-12 04:31:27,2.0,13,4,3.0,8,5.0,2247,1652329887,3.0,5.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33A30>,159.0,2022-05-12 04:32:27,2.0,13,4,3.0,8,3.0,2248,1652329947,3.0,2.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33A60>,158.0,2022-05-12 04:33:27,2.0,13,4,3.0,8,4.0,2249,1652330007,3.0,3.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33AC0>,158.0,2022-05-12 04:34:27,2.0,13,4,3.0,8,4.0,2250,1652330067,3.0,3.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33B20>,159.0,2022-05-12 04:35:27,2.0,13,4,3.0,8,4.0,2251,1652330127,3.0,3.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33B80>,157.0,2022-05-12 04:36:27,2.0,13,4,3.0,8,5.0,2252,1652330187,3.0,5.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33D60>,154.0,2022-05-12 04:37:27,,12,0,,8,5.0,2253,1652330247,,5.0,0,
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33E80>,156.0,2022-05-12 04:38:27,2.0,12,4,3.0,8,5.0,2254,1652330307,3.0,5.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33F70>,156.0,2022-05-12 04:39:27,2.0,12,4,3.0,8,5.0,2255,1652330367,3.0,5.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33F10>,158.0,2022-05-12 04:40:27,2.0,13,4,3.0,8,5.5,2256,1652330427,14.848611,5.5,15,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33820>,156.0,2022-05-12 04:41:27,2.0,12,4,3.0,8,6.0,2257,1652330487,3.0,6.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33CA0>,156.5,2022-05-12 04:42:27,2.0,0,4,3.0,8,7.0,2258,1652330547,3.0,7.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B725E33A00>,157.0,2022-05-12 04:43:27,2.0,13,4,3.0,8,7.0,2259,1652330607,3.0,7.0,3,1.0
<sqlalchemy.orm.state.InstanceState object at 0x000001B7270810A0>,157.0,2022-05-12 04:44:27,2.0,13,4,3.0,8,7.0,2260,1652330667,3.0,7.0,3,1.0
